permno,date,RET
63781,2006-02-28,-0.10938
63781,2006-03-31,0.048524
63781,2006-04-28,0.035874
63781,2006-05-31,0.037576
63781,2006-06-30,-0.050567
63781,2006-07-31,0.030761
63781,2006-08-31,-0.101126
63781,2006-09-29,-0.127869
63781,2006-10-31,0.009136
63781,2006-11-30,0.100022
63781,2006-12-29,-0.050558
63781,2007-01-31,0.000619
63781,2007-02-28,0.00887
63781,2007-03-30,0.034349
63781,2007-04-30,0.12967
63781,2007-05-31,0.07804
63781,2007-06-29,0.0211
63781,2007-07-31,-0.124781
63781,2007-08-31,-0.108972
63781,2007-09-28,-0.013453
63781,2007-10-31,-0.013017
63781,2007-11-30,-0.063848
63781,2007-12-31,0.034213
63781,2008-01-31,0.083676
63781,2008-02-29,0.100359
63781,2008-03-31,0.027199
63781,2008-04-30,0.121094
63781,2008-05-30,0.207526
63781,2008-06-30,0.081888
63781,2008-07-31,-0.18585
63781,2008-08-29,0.002665
63781,2008-09-30,-0.264432
63781,2008-10-31,-0.246487
63781,2008-11-28,-0.236015
63781,2008-12-31,-0.06834
63781,2009-01-30,-0.066617
63781,2009-02-27,-0.143144
63781,2009-03-31,-0.021058
63781,2009-04-30,0.304493
63781,2009-05-29,0.227922
63781,2009-06-30,-0.17726
63781,2009-07-31,0.149438
63781,2009-08-31,0.180499
63781,2009-09-30,0.102646
63781,2009-10-30,-0.052606
63781,2009-11-30,-0.037615
63781,2009-12-31,0.130019
77926,2000-01-31,-0.483957
77926,2000-02-29,-0.046632
77926,2000-03-31,0.26087
77926,2000-04-28,-0.392241
77926,2000-05-31,-0.198582
77926,2000-06-30,0.061947
77926,2000-07-31,0.25
77926,2000-08-31,0.16
77926,2000-09-29,-0.114943
77926,2000-10-31,0.207792
77926,2000-11-30,0.026882
77926,2000-12-29,-0.17801
77926,2001-01-31,0.447134
77926,2001-02-28,0.070423
77926,2001-03-30,-0.154605
77926,2001-04-30,-0.061479
77926,2001-05-31,0.252073
